proteome_name, mcr_count, hsp_count
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_23.fasta, 2, 2
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_19.fasta, 2, 1
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_03.fasta, 1, 3
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_42.fasta, 1, 3
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_45.fasta, 1, 3
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_50.fasta, 1, 3
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_05.fasta, 1, 2
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_07.fasta, 1, 2
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_24.fasta, 1, 2
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_15.fasta, 1, 1
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_16.fasta, 1, 1
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_38.fasta, 1, 1
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_39.fasta, 1, 1
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_44.fasta, 1, 1
/afs/crc.nd.edu/user/c/cturlo/Private/Biocomputing_Project/proteomes/proteome_48.fasta, 1, 1
